Localidade / Cultura,Área Plantada (hectares),Participação no DF (%),Producão (toneladas),Participação no DF (%).1,Produtores,Unnamed: 0,Unnamed: 1,Participaçãono ESLOC (%),Participaçãono DF (%),Participaçãono DF (%).1,Participaçãono ESLOC (%).1
Chuchu,"2,00",,"340,00",,1.0,,,"1,59","1,08","7,95","1,63"
Tomate,"1,50",,"150,00",,1.0,,,"1,19","0,36","3,51","0,43"
Taquara,"328,79",,"11.409,75",,,,,"100,00","3,69","100,00","4,26"
Subtotal,"213,05",,"9.403,14",,,,,"64,80",,"82,42",
Mandioca,"50,88",,"1.070,12",,62.0,,,"15,48","5,00","9,38","5,12"
Abóbora menina,"38,54",,"394,92",,16.0,,,"11,72","32,03","3,46","30,58"
Pimentão,"34,06",,"2.795,13",,87.0,,,"10,36","19,80","24,50","21,49"
Tomate,"32,84",,"3.049,92",,85.0,,,"9,99","7,77","26,73","8,77"
Abóbora italiana,"21,45",,"421,80",,54.0,,,"6,52","8,86","3,70","11,72"
Berinjela,"9,32",,"597,54",,44.0,,,"2,83","11,13","5,24","12,28"
Pepino,"9,07",,"361,96",,43.0,,,"2,76","9,87","3,17","11,15"
Couve-flor,"8,61",,"239,75",,19.0,,,"2,62","6,31","2,10","6,49"
Repolho,"5,30",,"239,60",,18.0,,,"1,61","1,51","2,10","1,35"
Chuchu,"2,99",,"232,40",,9.0,,,"0,91","1,61","2,04","1,11"
Vargem Bonita,"328,48",,"7.077,75",,,,,"100,00","3,68","100,00","2,64"
Subtotal,"230,78",,"5.503,06",,,,,"70,24",,"77,76",
Alface,"68,40",,"1.129,52",,86.0,,,"20,82","5,35","15,96","5,38"
Mandioca,"54,83",,"983,56",,106.0,,,"16,69","5,38","13,90","4,71"
Milho-verde,"19,66",,"124,76",,40.0,,,"5,99","3,11","1,76","2,38"
Gengibre,"18,70",,"1.299,20",,25.0,,,"5,69","94,40","18,36","94,95"
Couve,"15,70",,"672,12",,74.0,,,"4,78","7,82","9,50","5,37"
Brócolis - Cabeça Única,"14,60",,"175,29",,38.0,,,"4,44","3,49","2,48","2,74"
Repolho,"14,10",,"480,64",,39.0,,,"4,29","4,01","6,79","2,71"
Cebolinha,"13,22",,"277,62",,68.0,,,"4,02","7,69","3,92","7,40"
Brócolis - Ramoso,"8,70",,"243,60",,37.0,,,"2,65","5,55","3,44","5,21"
Pimentão,"2,87",,"116,75",,13.0,,,"0,87","1,67","1,65","0,90"
