Localidade / Cultura,Área Plantada (hectares),Participação no DF (%),Producão (toneladas),Participação no DF (%).1,Produtores,Unnamed: 0,Unnamed: 1,Participação no ESLOC (%),Participação no DF (%),Participação no ESLOC (%),Participação no DF (%).1,Producão   (toneladas)
Limão,"20,55",,"408,20",,113.0,,,"7,59","7,60","11,29","6,10",
Uva,"16,00",,"193,50",,20.0,,,"5,91","22,17","5,35","19,13",
Tangerina,"13,16",,"232,68",,42.0,,,"4,86","7,60","6,44","7,08",
Maracujá,"11,16",,"124,72",,31.0,,,"4,12","8,80","3,45","3,17",
Mirtilo,"5,22",,"40,40",,15.0,,,"1,93","62,67","1,12","67,76",
Laranja,"4,16",,"47,96",,49.0,,,"1,54","4,32","1,33","2,28",
Maracujá Pérola,"3,62",,"38,95",,7.0,,,"1,34","33,46","1,08","26,26",
Tabatinga,"87,25",,,,,,,"100,00","3,71","100,00","7,53","3.028,01"
Subtotal,"87,25",,,,,,,"99,99",,"100,00",,"3.028,01"
Abacate,"32,80",,,,23.0,,,"37,59","7,17","23,90","10,85","723,60"
Limão,"19,50",,,,15.0,,,"22,35","7,21","32,20","14,58","975,00"
Maracujá,"17,50",,,,4.0,,,"20,06","13,80","31,11","23,97","942,00"
Tangerina,"14,50",,,,13.0,,,"16,62","8,37","10,63","9,80","322,00"
Banana,"0,60",,,,2.0,,,"0,69","0,17","0,52","0,25","15,66"
Goiaba,"0,50",,,,1.0,,,"0,57","0,12","0,50","0,24","15,00"
Maracujá Pérola,"0,50",,,,1.0,,,"0,57","4,62","0,20","4,05","6,00"
Pitaia,"0,50",,,,1.0,,,"0,57","1,41","0,17","1,93","5,00"
Manga,"0,50",,,,1.0,,,"0,57","0,54","0,50","1,35","15,00"
Uva,"0,35",,,,1.0,,,"0,40","0,48","0,29","0,87","8,75"
Taquara,"62,45",,,,,,,"100,00","2,65","100,00","3,31","1.331,81"
Subtotal,"61,46",,,,,,,"98,41",,"99,61",,"1.326,48"
Banana,"27,19",,,,21.0,,,"43,54","7,91","50,58","10,87","673,60"
Tangerina,"9,00",,,,18.0,,,"14,41","5,20","15,53","6,29","206,80"
Abacate,"8,46",,,,21.0,,,"13,55","1,85","7,54","1,51","100,40"
Maracujá,"6,67",,,,18.0,,,"10,68","5,26","9,54","3,23","127,10"
Limão,"6,37",,,,30.0,,,"10,19","2,35","10,87","2,17","144,80"
Laranja,"1,81",,,,7.0,,,"2,90","1,88","4,02","2,55","53,48"
Manga,"1,01",,,,2.0,,,"1,62","1,08","0,76","0,91","10,10"
Pitaia,"0,45",,,,5.0,,,"0,72","1,27","0,27","1,39","3,60"
Caqui,"0,30",,,,1.0,,,"0,48","51,28","0,23","30,46","3,00"
Acerola,"0,20",,,,1.0,,,"0,32","1,42","0,27","2,28","3,60"
Vargem Bonita,"89,70",,,,,,,"100,00","3,81","100,00","3,22","1.292,75"
Subtotal,"82,73",,,,,,,"92,22",,"95,82",,"1.238,87"
Banana,"22,95",,,,89.0,,,"25,58","6,67","28,51","5,95","368,53"
Abacate,"19,42",,,,50.0,,,"21,64","4,25","35,27","6,84","455,98"
Limão,"8,51",,,,57.0,,,"9,49","3,15","6,91","1,34","89,34"
Manga,"8,06",,,,67.0,,,"8,98","8,65","5,46","6,37","70,56"
Uva,"7,40",,,,7.0,,,"8,25","10,25","4,56","5,83","59,00"
Pitaia,"5,42",,,,13.0,,,"6,04","15,30","3,99","19,94","51,64"
Tangerina,"4,95",,,,35.0,,,"5,52","2,86","5,27","2,07","68,16"
Maracujá,"2,56",,,,11.0,,,"2,85","2,02","1,11","0,37","14,40"
Maracujá Pérola,"2,00",,,,4.0,,,"2,23","18,48","3,14","27,35","40,56"
Laranja,"1,47",,,,19.0,,,"1,64","1,53","1,60","0,99","20,70"
